leixing,nianfen,licheng,didian,shoujia,yuanjia,brand
大众 途观 2015款 1.8TSI 自动四驱豪华型,2015年,4.6万公里,大连,13.80万,30.05万,大众
传祺GS4 2015款 200T 手动精英版,2015年,2.7万公里,大连,6.00万,11.81万,传祺
大众 朗逸 2013款 改款 1.4TSI DSG舒适版,2015年,2.4万公里,大连,7.90万,16.05万,大众
斯柯达 明锐 2015款 1.6L 自动逸俊版,2014年,5.3万公里,大连,6.48万,16.49万,斯柯达
福特 福克斯 2011款 两厢 1.8L 自动时尚型,2012年,7.8万公里,大连,4.00万,13.87万,福特
起亚KX5 2016款 1.6T 自动两驱DLX,2017年,3.7万公里,大连,10.50万,19.19万,起亚
奇瑞 艾瑞泽5 2016款 1.5L 手动领潮版,2016年,3.1万公里,大连,3.50万,6.94万,奇瑞
日产 骐达 2011款 1.6L CVT智能型,2011年,9.1万公里,大连,5.20万,13.60万,日产
宝马5系 2014款 525Li 豪华设计套装,2015年,3.7万公里,大连,29.90万,54.23万,宝马
哈弗H2 2016款 红标 1.5T 手动两驱精英型,2016年,1.0万公里,大连,5.51万,11.27万,哈弗
福特 福睿斯 2017款 1.5L 自动舒适型,2016年,3.9万公里,大连,6.10万,11.70万,福特
Jeep 指南者 2013款 2.0L 两驱豪华版(进口),2014年,11.0万公里,大连,8.50万,26.04万,Jeep
三菱 翼神 2012款 1.8L 手动魅力版,2012年,7.6万公里,大连,4.00万,12.68万,三菱
别克 君威 2009款 2.0L 精英版,2010年,10.5万公里,大连,5.60万,21.70万,别克
雪铁龙C4L 2015款 1.2T 自动尊贵版,2016年,3.3万公里,大连,7.48万,17.57万,雪铁龙
大众POLO 2013款 1.4L 手动风尚版,2013年,5.3万公里,大连,3.79万,9.32万,大众
大众 夏朗 2013款 2.0TSI 标配型(进口),2013年,7.6万公里,大连,12.88万,34.08万,大众
别克 凯越 2015款 1.5L 自动经典型,2016年,7.0万公里,大连,4.90万,9.98万,别克
比亚迪S6 2013款 白金版 2.0L 手动精英型,2014年,5.0万公里,大连,3.68万,9.76万,比亚迪
宝马3系 2012款 320i 时尚型,2011年,4.3万公里,大连,10.28万,38.10万,宝马
福特 翼虎 2013款 2.0L GTDi 四驱运动型,2013年,4.6万公里,大连,12.10万,28.53万,福特
福特 福克斯 2015款 三厢 1.6L 自动风尚型,2016年,2.0万公里,大连,7.00万,14.85万,福特
大众 宝来 2011款 1.6L 手动舒适型,2010年,5.7万公里,大连,3.30万,12.90万,大众
Jeep 指南者 2013款 2.4L 四驱运动版(进口),2013年,9.1万公里,大连,8.38万,26.69万,Jeep
大众 帕萨特 2013款 1.8TSI DSG尊荣版,2013年,3.4万公里,大连,10.94万,23.75万,大众
MINI Countryman 2011款 1.6L COOPER Fun,2015年,16.0万公里,大连,11.50万,30.94万,MINI
现代 悦动 2011款 1.6L 自动豪华型,2011年,13.8万公里,大连,3.75万,13.11万,现代
现代 朗动 2015款 1.6L 自动尊贵型,2015年,3.4万公里,大连,6.50万,14.63万,现代
奥迪A6L 2011款 2.0 TFSI 自动舒适型,2012年,13.6万公里,大连,11.20万,45.07万,奥迪
大众 途观 2012款 1.8TSI 自动两驱菁英版,2012年,4.1万公里,大连,10.02万,27.66万,大众
福特 福克斯 2015款 三厢 1.6L 自动风尚型,2015年,1.6万公里,大连,6.50万,14.85万,福特
福特 嘉年华 2013款 两厢 1.5L 自动时尚型,2015年,6.8万公里,大连,4.30万,10.74万,福特
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2013年,7.0万公里,大连,6.10万,13.56万,大众
福特 福克斯 2012款 三厢 1.6L 自动舒适型,2013年,7.2万公里,大连,4.54万,14.21万,福特
奥迪A4L 2012款 2.0 TFSI 自动舒适型,2012年,7.1万公里,大连,13.20万,35.81万,奥迪
大众 高尔夫 2016款 1.6L 自动舒适型,2016年,5.2万公里,大连,8.35万,15.73万,大众
Jeep 自由光 2016款 2.4L 优越版,2016年,6.7万公里,大连,12.50万,29.94万,Jeep
Jeep 指南者 2014款 改款 2.4L 四驱舒适版(进口),2015年,6.0万公里,大连,10.80万,26.69万,Jeep
雪铁龙C5 2010款 2.3L 自动尊贵型,2010年,16.0万公里,大连,4.80万,24.63万,雪铁龙
铃木 天语 SX4 2012款 锐骑 1.8L 自动运动型,2014年,4.2万公里,大连,5.39万,14.63万,铃木
福特 福克斯 2012款 两厢 1.6L 自动舒适型,2015年,4.5万公里,大连,6.80万,14.21万,福特
起亚 智跑 2014款 2.0L 自动两驱版GLS,2015年,4.2万公里,大连,9.58万,20.93万,起亚
丰田 汉兰达 2015款 2.0T 四驱豪华版 7座,2017年,3.9万公里,大连,27.70万,32.00万,丰田
奔腾X80 2013款 2.0L 自动豪华型,2013年,7.0万公里,大连,5.50万,15.83万,奔腾
马自达6 2008款 2.0L 自动时尚型,2010年,8.6万公里,大连,4.80万,19.52万,马自达
本田CR-V 2016款 2.0L 两驱都市版,2016年,2.1万公里,大连,14.50万,20.60万,本田
日产 天籁 2011款 公爵 2.5L XV尊雅版,2010年,14.8万公里,大连,7.50万,28.74万,日产
马自达3 2010款 1.6L 自动经典时尚型,2011年,7.0万公里,大连,3.98万,13.33万,马自达
奔驰C级 2010款 C 260 CGI 时尚型,2010年,9.3万公里,大连,10.50万,46.46万,奔驰
大众 途观 2012款 1.8TSI 自动两驱菁英版,2012年,7.9万公里,大连,10.88万,27.66万,大众
福特 翼搏 2013款 1.5L 自动尊贵型,2014年,5.9万公里,大连,6.50万,13.87万,福特
奔腾B30 2016款 1.6L 自动豪华型,2016年,3.8万公里,大连,4.60万,8.99万,奔腾
大众 高尔夫 2015款 1.6L 自动时尚型,2015年,3.8万公里,大连,7.80万,14.53万,大众
现代 朗动 2015款 1.6L 自动领先型,2016年,5.3万公里,大连,7.66万,13.87万,现代
别克 英朗 2013款 GT 1.8L 自动时尚版,2013年,10.0万公里,大连,5.69万,17.94万,别克
别克 昂科拉 2015款 1.4T 自动两驱都市精英型,2016年,3.9万公里,大连,7.20万,16.27万,别克
MG3 2014款 1.5L AMT精英版,2015年,4.0万公里,大连,3.67万,9.09万,MG3
荣威350 2010款 350C 1.5L 自动迅逸版,2010年,3.9万公里,大连,2.56万,12.45万,荣威
大众 迈腾 2015款 1.8TSI 舒适型,2016年,2.3万公里,大连,13.50万,22.77万,大众
大众 宝来 2016款 1.6L 自动舒适型,2016年,3.0万公里,大连,8.19万,14.31万,大众
现代 朗动 2015款 1.6L 自动领先型,2015年,5.3万公里,大连,6.10万,13.87万,现代
大众 Passat领驭 2007款 1.8T 手动标准型,2011年,8.4万公里,大连,3.90万,20.06万,大众
哈弗H1 2016款 改款 蓝标 1.5L AMT舒适型,2016年,1.7万公里,大连,4.50万,8.02万,哈弗
现代 名图 2014款 1.8L 自动尊贵型DLX,2015年,9.1万公里,大连,8.60万,17.35万,现代
纳智捷 大7 SUV 2011款 2.2T 两驱智慧型,2012年,15.7万公里,大连,4.80万,23.64万,纳智捷
现代 悦动 2011款 1.6L 手动豪华型,2012年,5.8万公里,大连,3.43万,11.92万,现代
大众 途观 2015款 1.8TSI 自动两驱豪华型,2014年,5.1万公里,大连,12.60万,28.20万,大众
大众 捷达 2015款 1.6L 手动舒适型,2015年,10.3万公里,大连,4.18万,10.67万,大众
雪佛兰 科鲁兹 2013款 1.6L SL MT,2014年,6.8万公里,大连,4.60万,11.82万,雪佛兰
大众 高尔夫 2015款 1.4TSI 自动舒适型,2015年,2.9万公里,大连,8.82万,16.81万,大众
别克 君威 2013款 1.6T 自动精英运动版,2013年,6.5万公里,大连,7.20万,22.78万,别克
斯柯达 明锐 2010款 1.4TSI GreenLine,2010年,9.6万公里,大连,4.60万,16.21万,斯柯达
雪佛兰 科鲁兹 2013款 1.6L SE MT,2013年,8.2万公里,大连,3.60万,13.01万,雪佛兰
大众CC 2010款 2.0TSI 豪华型,2010年,10.2万公里,大连,9.98万,30.15万,大众
凯迪拉克ATS-L 2016款 28T 技术型,2016年,3.2万公里,大连,16.20万,32.43万,凯迪拉克
雪佛兰 科鲁兹 2012款 1.6L SE AT,2013年,13.4万公里,大连,4.75万,14.64万,雪佛兰
斯柯达 昕锐 2013款 1.4L 手动乐选型,2014年,7.4万公里,大连,4.10万,8.67万,斯柯达
奔驰GLK级 2014款 GLK 260 4MATIC 动感型,2014年,8.5万公里,大连,20.24万,43.20万,奔驰
大众 高尔夫 2011款 1.6 自动舒适型,2012年,5.2万公里,大连,6.80万,15.17万,大众
大众 迈腾 2011款 2.0TSI DSG豪华型,2011年,16.4万公里,大连,6.30万,28.63万,大众
东南 V3菱悦 2015款 1.5L 手动幸福版,2015年,7.4万公里,大连,3.10万,6.28万,东南
雪佛兰 科鲁兹 2013款 1.6L SE MT,2014年,6.3万公里,大连,4.12万,13.01万,雪佛兰
哈弗H1 2016款 改款 蓝标 1.5L AMT舒适型,2017年,2.2万公里,大连,5.00万,8.02万,哈弗
大众CC 2012款 2.0TSI 豪华型,2013年,5.0万公里,大连,13.00万,30.48万,大众
本田 凌派 2016款 1.8L CVT领先版,2016年,4.2万公里,大连,8.35万,15.17万,本田
福特 福克斯 2012款 三厢 1.6L 自动风尚型,2012年,4.7万公里,大连,5.50万,15.62万,福特
福特 福克斯 2012款 三厢 1.6L 自动尊贵型,2014年,4.5万公里,大连,6.60万,16.81万,福特
雪佛兰 迈锐宝 2012款 2.4L 自动旗舰版,2014年,14.1万公里,大连,7.56万,24.95万,雪佛兰
斯柯达 晶锐 2016款 1.4L 自动车享版,2016年,1.6万公里,大连,5.38万,9.22万,斯柯达
海马S5 2015款 1.6L 手动豪华型天窗版,2016年,7.2万公里,大连,4.60万,9.31万,海马
福特 福睿斯 2015款 1.5L 自动舒适型,2015年,4.1万公里,大连,6.00万,11.70万,福特
一汽 骏派D60 2015款 1.8L 自动尊贵型,2017年,1.4万公里,大连,5.50万,10.84万,一汽
大众 高尔夫 2011款 1.4TSI 手动舒适型,2010年,7.5万公里,大连,5.20万,14.74万,大众
别克 威朗 2015款 三厢 15S 自动领先型,2016年,3.1万公里,大连,8.60万,16.81万,别克
MG3 2014款 1.5L AMT豪华版,2018年,1.0万公里,大连,4.98万,9.95万,MG3
奇瑞 艾瑞泽5 2016款 1.5L 手动领锐版,2017年,3.2万公里,大连,4.25万,7.59万,奇瑞
Jeep 指南者 2011款 2.4L 四驱经典升级版(进口),2012年,10.1万公里,大连,6.91万,25.93万,Jeep
福特 福克斯 2012款 三厢 1.6L 自动风尚型,2015年,7.1万公里,大连,6.38万,15.62万,福特
福特 福克斯 2012款 两厢 1.6L 自动风尚型,2014年,6.0万公里,大连,6.38万,15.62万,福特
福特 嘉年华 2013款 两厢 1.5L 手动风尚型,2016年,2.8万公里,大连,4.60万,8.67万,福特
现代 全新胜达 2013款 2.4L 自动四驱智能型,2013年,6.7万公里,大连,10.80万,28.20万,现代
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2015年,6.0万公里,大连,6.61万,13.56万,大众
标致301 2016款 1.6L 自动豪华版,2016年,5.4万公里,大连,4.60万,11.80万,标致
大众 途观 2013款 1.8TSI 自动四驱豪华型,2014年,3.4万公里,大连,14.30万,30.05万,大众
长城C50 2014款 升级版 1.5T 手动精英型,2014年,6.3万公里,大连,3.20万,10.07万,长城
江淮 瑞风S3 2014款 1.5L 手动豪华智能型,2015年,6.1万公里,大连,3.90万,8.12万,江淮
雪佛兰 科鲁兹 2012款 1.6L SE AT,2014年,9.3万公里,大连,5.05万,14.64万,雪佛兰
斯柯达 明锐 2015款 1.6L 自动逸杰版,2015年,7.7万公里,大连,6.68万,15.40万,斯柯达
大众 桑塔纳 2013款 1.4L 手动舒适版,2014年,3.5万公里,大连,4.50万,10.72万,大众
哈弗H2 2014款 1.5T 手动两驱精英版,2014年,3.8万公里,大连,5.20万,11.27万,哈弗
现代 途胜 2015款 1.6T 双离合两驱智能型,2017年,5.4万公里,大连,11.95万,19.53万,现代
Jeep 自由客 2012款 2.4 运动版(进口),2013年,5.2万公里,大连,9.20万,26.69万,Jeep
别克GL8 2014款 2.4L 经典版,2015年,11.5万公里,大连,10.20万,22.69万,别克
本田 飞度 2014款 1.5L LX CVT舒适型,2016年,5.9万公里,大连,6.68万,8.88万,本田
标致3008 2013款 1.6THP 自动至尚版,2014年,4.9万公里,大连,8.11万,23.31万,标致
本田 雅阁 2010款 2.0L EX Navi,2010年,8.8万公里,大连,7.20万,24.18万,本田
现代 索纳塔八 2011款 2.0L 自动至尊版,2012年,9.2万公里,大连,6.68万,22.13万,现代
别克 英朗 2012款 XT 1.6L 手动舒适版,2013年,4.3万公里,大连,5.14万,14.10万,别克
丰田 YARiS L 致炫 2016款 改款 1.3E 手动魅动版,2017年,1.4万公里,大连,5.30万,8.12万,丰田
本田CR-V 2010款 2.4L 自动四驱尊贵版,2010年,5.6万公里,大连,9.68万,27.44万,本田
标致2008 2014款 1.6L 自动潮流版,2015年,5.3万公里,大连,5.70万,11.91万,标致
别克 君威 2014款 2.0L 精英时尚型,2015年,3.1万公里,大连,9.60万,21.05万,别克
大众 高尔夫 2011款 1.4TSI 自动豪华型,2011年,8.4万公里,大连,6.60万,18.11万,大众
别克 凯越 2015款 1.5L 自动经典型,2016年,3.3万公里,大连,4.90万,9.98万,别克
大众 途观 2013款 1.8TSI 自动两驱豪华型,2013年,6.4万公里,大连,13.00万,28.20万,大众
大众POLO 2014款 1.6L 自动豪华版,2014年,6.6万公里,大连,6.38万,12.58万,大众
别克 英朗 2016款 15N 自动精英型,2016年,5.5万公里,大连,7.28万,13.77万,别克
别克 君威 2012款 2.0L 豪华版,2012年,8.1万公里,大连,6.98万,22.13万,别克
大众 速腾 2015款 1.6L 自动舒适型,2016年,3.1万公里,大连,9.50万,16.37万,大众
英菲尼迪QX50 2015款 2.5L 舒适版,2017年,6.4万公里,大连,19.00万,37.97万,英菲尼迪
别克 君威 2014款 1.6T 时尚技术型,2014年,5.6万公里,大连,7.80万,21.70万,别克
丰田 威驰FS 2017款 1.5L CVT锋驰版,2018年,1.1万公里,大连,6.88万,9.31万,丰田
别克GL8 2011款 2.4L CT舒适版,2013年,9.1万公里,大连,8.70万,24.75万,别克
丰田 威驰 2017款 1.5L CVT创行版,2017年,2.0万公里,大连,6.50万,9.53万,丰田
别克 英朗 2013款 GT 1.6L 自动时尚版,2013年,9.0万公里,大连,5.68万,16.58万,别克
别克GL8 2014款 2.4L 经典版,2015年,12.7万公里,大连,10.50万,22.69万,别克
起亚K2 2012款 两厢 1.4L MT 炫酷纪念版,2014年,6.2万公里,大连,3.83万,8.67万,起亚
传祺GS4 2015款 200T G-DCT豪华版,2016年,7.9万公里,大连,7.20万,14.85万,传祺
起亚K2 2015款 三厢 1.4L MT GLS,2016年,2.2万公里,大连,4.40万,8.46万,起亚
一汽 骏派D60 2015款 1.5L 手动标准型,2015年,2.4万公里,大连,3.20万,7.04万,一汽
大众 朗逸 2013款 改款经典 1.6L 自动风尚版,2015年,7.7万公里,大连,6.00万,13.56万,大众
传祺GS4 2016款 235T G-DCT精英版,2016年,7.1万公里,大连,7.14万,14.52万,传祺
福特 福睿斯 2015款 1.5L 自动时尚型,2017年,3.4万公里,大连,7.80万,13.00万,福特
福特 嘉年华 2011款 三厢 1.5L 自动时尚型,2012年,3.2万公里,大连,3.50万,10.63万,福特
福特 翼搏 2013款 1.5L 自动风尚型,2015年,3.1万公里,大连,5.83万,12.24万,福特
别克 君威 2009款 2.0L 精英版,2010年,14.8万公里,大连,5.10万,21.70万,别克
别克 英朗 2016款 15N 自动精英型,2016年,3.7万公里,大连,7.30万,13.77万,别克
起亚 福瑞迪 2014款 1.6L MT GL,2014年,4.8万公里,大连,4.60万,10.72万,起亚
福特 嘉年华 2013款 三厢 1.5L 手动风尚型,2015年,4.4万公里,大连,3.50万,8.67万,福特
现代 名图 2014款 1.8L 自动智能型GLS,2015年,7.8万公里,大连,7.90万,16.26万,现代
奥迪A6L 2011款 2.0 TFSI 自动标准型,2012年,9.2万公里,大连,12.80万,42.32万,奥迪
斯柯达 昕动 2014款 1.4TSI DSG舒享版,2014年,6.2万公里,大连,6.60万,14.10万,斯柯达
现代 全新胜达 2013款 2.4L 自动两驱舒适型,2013年,6.6万公里,大连,10.66万,24.73万,现代
标致308S 2015款 1.2T 自动尚驰版,2016年,6.6万公里,大连,6.20万,14.40万,标致
大众 捷达 2015款 质惠版 1.6L 手动时尚型,2016年,3.9万公里,大连,5.10万,9.29万,大众
宝马X1 2012款 sDrive20i 领先型,2012年,10.4万公里,大连,12.80万,39.29万,宝马
长安CS35 2015款 1.6L 手动豪华型 国IV,2015年,4.6万公里,大连,4.65万,9.00万,长安
本田 雅阁 2014款 2.0L LX 舒适版,2014年,6.9万公里,大连,11.30万,19.52万,本田
斯柯达 晶锐 2011款 1.4L 自动晶致版,2011年,9.1万公里,大连,3.60万,9.87万,斯柯达
福特 福克斯 2009款 两厢 1.8L 自动时尚型,2010年,10.3万公里,大连,3.12万,14.64万,福特
大众 宝来 2014款 1.6L 自动时尚型,2015年,5.9万公里,大连,6.65万,13.00万,大众
